id_uf,ano,gini_pib,gini_va_agro,gini_va_industria,gini_va_servicos,gini_va_adespss
26,2006,0.786755,0.518162,0.90149,0.865729,0.602449
32,2006,0.792566,0.44155,0.861199,0.80983,0.613223
35,2006,0.876696,0.527397,0.879116,0.909887,0.793316
24,2006,0.804342,0.587244,0.903543,0.881861,0.636113
42,2006,0.756968,0.420674,0.8102,0.815234,0.66798
17,2006,0.704422,0.440681,0.8471,0.819613,0.579099
14,2006,0.757404,0.325436,0.853717,0.870431,0.674163
12,2006,0.732895,0.370231,0.865321,0.871333,0.626839
50,2006,0.683075,0.481673,0.815411,0.768535,0.61149
51,2006,0.718791,0.590617,0.811868,0.805271,0.619874
11,2006,0.664114,0.292167,0.788858,0.786126,0.555884
41,2006,0.800034,0.418335,0.8909,0.849335,0.679653
31,2006,0.825257,0.605383,0.912883,0.863024,0.673336
21,2006,0.754244,0.43673,0.905834,0.852928,0.537875
27,2006,0.732877,0.542439,0.876004,0.84755,0.563778
16,2006,0.791405,0.51035,0.816648,0.868705,0.742239
43,2006,0.799672,0.460955,0.876743,0.852274,0.71421
33,2006,0.844868,0.521995,0.878606,0.863134,0.772687
13,2006,0.904798,0.559535,0.975062,0.941737,0.683834
29,2006,0.786248,0.626881,0.914908,0.854374,0.550389
52,2006,0.801655,0.58489,0.88193,0.850294,0.708277
22,2006,0.784127,0.555259,0.937481,0.887548,0.581822
15,2006,0.73773,0.438392,0.865593,0.849094,0.564652
23,2006,0.786051,0.430824,0.898827,0.871616,0.604519
28,2006,0.720503,0.440226,0.84374,0.828778,0.580615
41,2007,0.802068,0.422266,0.89052,0.85585,0.674406
23,2007,0.794227,0.448048,0.900267,0.874998,0.598818
11,2007,0.668052,0.307119,0.790281,0.783848,0.566868
16,2007,0.777855,0.480005,0.789335,0.864449,0.728688
32,2007,0.793213,0.429158,0.856692,0.810791,0.619183
35,2007,0.879376,0.52673,0.882891,0.912705,0.791367
24,2007,0.804113,0.596337,0.903173,0.8836,0.632931
26,2007,0.792372,0.524426,0.906256,0.867543,0.604007
21,2007,0.740652,0.458085,0.915263,0.844789,0.531226
27,2007,0.740501,0.538043,0.883482,0.848817,0.559208
42,2007,0.755671,0.420149,0.805142,0.8169,0.663025
14,2007,0.749061,0.305099,0.872855,0.86816,0.665566
12,2007,0.726051,0.355484,0.868209,0.866447,0.600516
33,2007,0.843318,0.499856,0.874065,0.863081,0.769331
50,2007,0.680232,0.491431,0.808974,0.774712,0.607354
13,2007,0.905461,0.550741,0.973063,0.945006,0.667591
51,2007,0.716524,0.633573,0.814361,0.807632,0.60922
31,2007,0.831472,0.592869,0.9137,0.870983,0.670892
28,2007,0.726835,0.445522,0.839531,0.833364,0.579966
15,2007,0.735058,0.453797,0.857998,0.846173,0.560365
22,2007,0.761221,0.584793,0.929626,0.879336,0.577269
29,2007,0.788698,0.638612,0.92137,0.858045,0.555035
52,2007,0.797955,0.603075,0.880691,0.848933,0.707633
25,2007,0.778311,0.501494,0.921789,0.878086,0.598108
43,2007,0.794692,0.448427,0.880751,0.851596,0.709863
17,2007,0.702163,0.463048,0.859922,0.819851,0.55712
41,2008,0.793297,0.420247,0.887729,0.850758,0.67255
13,2008,0.903919,0.536943,0.97239,0.942805,0.669251
35,2008,0.881968,0.513155,0.881755,0.911522,0.7877
12,2008,0.726923,0.358493,0.86827,0.872829,0.594395
